Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean (model comparison)	met_sd (model comparison)	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	KEGG_ID_metabolite	HMDB_ID_metabolite	SMILES_metabolite
"D-Fructose 1,6-bisphosphate"	PFKP	"ATP-dependent 6-phosphofructokinase, platelet type"	PFKP	Q01813		0.612686282	1.049616319	-0.024882018	0.162676824	3.97E-11	4.31E-09	"beta-D-Fructose 1,6-bisphosphate"	20C_7	4	C05378	HMDB60444	O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
"D-Glucose 1,6-bisphosphate"	PFKP	"ATP-dependent 6-phosphofructokinase, platelet type"	PFKP	Q01813		0.612686282	1.049616319	-0.024882018	0.162676824	3.97E-11	4.31E-09	"Alpha-D-Glucose 1,6-bisphosphate"	CNC_66	4	C01231	HMDB03514	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O
L-Asparagine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.493407818	-0.718223649	0.041926331	0.115194239	4.14E-11	4.48E-09	L-Asparagine	A_11	1	C00152	HMDB00168	N[C@@H](CC(N)=O)C(O)=O
3-Ureidopropionic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.493407818	-0.718223649	0.041926331	0.115194239	4.14E-11	4.48E-09	Ureidopropionic acid	U_6	1	C02642	HMDB00026	NC(=O)NCCC(O)=O
Riboflavin 5-monophosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		0.694945348	0.852169315	-0.0082797	0.130571133	4.40E-11	4.74E-09	Flavin Mononucleotide	20C_71	2	C00061	HMDB01520	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2
3-Hydroxyanthranilic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.800555341	-0.808663615	-0.013989704	0.120779228	4.72E-11	5.06E-09	3-Hydroxyanthranilic acid	H_15	4	C00632	HMDB01476	NC1=C(O)C=CC=C1C(O)=O
Deoxyadenosine monophosphate	DHTKD1r	"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	DHTKD1	Q96HY7		0.921955544	0.921187204	-0.070008472	0.151362996	5.81E-11	6.20E-09	Deoxyadenosine monophosphate	20C_36	4	C00360	HMDB00905	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Malonyl coenzyme A	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-2.143162551	1.454971171	0.069387638	0.212125818	6.49E-11	6.88E-09	Malonyl-CoA	CNC_74	2	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
UDP-Glucuronate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.928876876	0.896454569	-0.017816961	0.140368336	7.35E-11	7.76E-09	Uridine diphosphate glucuronic acid	CNC_93	2	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
3-Phosphoadenosine 5-phosphosulfate	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.456630989	0.893304551	-0.02970801	0.142775602	1.01E-10	1.06E-08	Phosphoadenosine phosphosulfate	70C_1	4	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
2-Deoxyadenosine 5-triphosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-5.010272724	-2.484487213	0.074184068	0.397153553	1.18E-10	1.22E-08	Deoxyadenosine triphosphate	20C_73	2	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
D-3-Phosphoglyceric acid	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.513185249	1.026536034	-0.020353173	0.163132147	1.39E-10	1.43E-08	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	20C_50	4	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O
2-Deoxycytidine	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-2.236552101	-1.848576988	0.107194975	0.305975296	1.64E-10	1.69E-08	Deoxycytidine	20C_25	1	C00881	HMDB00014	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
Oxaloacetic acid	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-1.962862416	-1.17112121	-0.016641677	0.181304743	1.92E-10	1.97E-08	Oxalacetic acid	20C_1	3	C00036	HMDB00223	OC(=O)CC(=O)C(O)=O
Cytidine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.458962831	-0.97595432	0.05961314	0.163134605	2.18E-10	2.21E-08	Cytidine	C_7	1	C00475	HMDB00089	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Xanthosine 5-monophosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.988577667	-0.707553528	-0.017842855	0.109040675	2.53E-10	2.54E-08	Xanthylic acid	CNC_143	3	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
DL-5-Hydroxylysine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.416892214	0.598975799	-0.047236094	0.102264014	2.63E-10	2.63E-08	5-Hydroxylysine	H_3	3	C16741	HMDB00450	NC[C@H](O)CC[C@H](N)C(O)=O
3-Hydroxy-3-methylglutaryl coenzyme A	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-3.697618718	-1.453379052	-0.006847865	0.228957897	2.65E-10	2.65E-08	3-Hydroxy-3-methylglutaryl-CoA	20C_45	2	C00356	HMDB01375	C[C@](O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Octanoyl coenzyme A	GCK	Hexokinase-4	GCK	P35557		-3.568064175	4.387693806	0.275592224	0.652995352	3.03E-10	3.01E-08	Octanoyl-CoA	CNC_78	2	C01944	HMDB01070	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
5-Phospho-D-ribose 1-diphosphate	PYK	Pyruvate kinase PKLR	PKLR	P30613		-2.116924593	-1.549534872	0.140641604	0.268547514	3.10E-10	3.07E-08	Phosphoribosyl pyrophosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Indole-3-pyruvic acid	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-1.367088399	-1.349719091	0.027381105	0.21905862	3.25E-10	3.20E-08	Indolepyruvate	20C_30	4	C00331	HMDB60484	OC(=O)C(=O)CC1=CNC2=CC=CC=C12
D-Lactose	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.001525162	-0.639552391	-0.012216954	0.099966263	3.49E-10	3.41E-08	Alpha-Lactose	L_1	2	C00243	HMDB00186	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
Glutathione disulfide	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-6.890378684	-2.208104353	0.135602568	0.373513526	3.50E-10	3.41E-08	Oxidized glutathione	4C_29	4	C00127	HMDB03337	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
5-Phospho-D-ribose 1-diphosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-2.921502239	1.823261834	0.140641604	0.268547514	3.71E-10	3.60E-08	Phosphoribosyl pyrophosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Thymidine 5-triphosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.625202426	1.702805	0.150815205	0.248366309	4.14E-10	3.97E-08	Thymidine 5'-triphosphate	CNC_89	4	C00459	HMDB01342	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
Deoxyguanylate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.711680387	0.922025853	0.007249429	0.146567107	4.34E-10	4.13E-08	2'-Deoxyguanosine 5'-monophosphate	20C_23	4	C00362	HMDB01044	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1
N-Acetyl-L-alanine	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.053431068	-0.83212571	-0.009530951	0.132707983	5.70E-10	5.38E-08	N-Acetyl-L-alanine	CNC_2	4		HMDB00766	C[C@H](NC(C)=O)C(O)=O
Propionylglycine	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.053431068	-0.83212571	-0.009530951	0.132707983	5.70E-10	5.38E-08	Propionylglycine	CNC_105	4		HMDB00783	CCC(=O)NCC(O)=O
Nicotinamide adenine dinucleotide	LDHA	L-lactate dehydrogenase A chain	LDHA	P00338		0.706147764	1.194739986	0.002021432	0.192595868	5.91E-10	5.57E-08	NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
2-Deoxy-D-ribonic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.035436698	-0.847068932	-0.020384939	0.133527474	5.97E-10	5.62E-08	2-Deoxyribonic acid	CNC_185	4		HMDB00366	OC[C@@H](O)[C@@H](O)CC(O)=O
UDP-Glucuronate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-2.092178183	-0.885410026	-0.017816961	0.140368336	6.38E-10	5.98E-08	Uridine diphosphate glucuronic acid	CNC_93	2	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
3-Aminoisobutyric acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	0.592342588	1.112339347	0.000781953	0.180501251	7.36E-10	6.88E-08	3-Aminoisobutanoic acid	A_19	2	C05145	HMDB03911	CC(CN)C(O)=O
2-Deoxy-5-cytidylic acid	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-1.094916135	-0.888119679	-0.016800291	0.142345058	9.29E-10	8.62E-08	dCMP	20C_75	4	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
"D-myo-Inositol-1,4,5-triphosphate"	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		-2.238931009	-1.71633259	0.051204005	0.288805428	9.35E-10	8.66E-08	"Inositol 1,4,5-trisphosphate"	Cay_7	4	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
6-Phosphogluconic acid	GCK	Hexokinase-4	GCK	P35557		-9.009097217	-3.638442099	0.077463331	0.607355573	9.47E-10	8.74E-08	6-Phosphogluconic acid	20C_61	4	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
L-2-Aminobutyric acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	0.592342588	1.12021906	0.001435335	0.18306336	9.87E-10	9.09E-08	L-Alpha-aminobutyric acid	CNC_7	2	C02356	HMDB00452	CC[C@H](N)C(O)=O
Deoxycytidine triphosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.171408665	1.342506224	0.058657069	0.210260731	1.02E-09	9.39E-08	dCTP	CNC_99	4	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
Dodecanedioic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.966153875	-0.82959493	-0.038684406	0.129796032	1.10E-09	1.01E-07	Dodecanedioic acid	CNC_133	4	C02678	HMDB00623	OC(=O)CCCCCCCCCCC(O)=O
Pyruvate	CS	"Citrate synthase, mitochondrial"	CS	O75390		0.496222756	0.52912887	-0.027069194	0.091401181	1.16E-09	1.06E-07	Pyruvic acid	4C_1	3	C00022	HMDB00243	CC(=O)C(O)=O
Dephosphocoenzyme A	GCK	Hexokinase-4	GCK	P35557		-1.163352694	-3.36548561	0.106466602	0.572548975	1.33E-09	1.21E-07	Dephospho-CoA	CNC_18	4	C00882	HMDB01373	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS
DL-2-Amino-3-phosphonopropionic acid	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		0.421551655	0.616758137	-0.024096408	0.10628083	1.64E-09	1.48E-07	2-Amino-3-phosphonopropionic acid	CNC_172	3	C05672	HMDB00370	NC(CP(O)(O)=O)C(O)=O
L-Arabinose_1	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.836006965	-0.677112057	-0.01257498	0.111999446	2.97E-09	2.59E-07						
D-Xylose	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-0.488751364	0.750735027	0.019836007	0.123402399	3.16E-09	2.74E-07	D-Xylose	X_1	1	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O
L-Arabinose	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-0.488751364	0.750735027	0.019836007	0.123402399	3.16E-09	2.74E-07	L-Arabinose	A_1	1	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O
L-Ribulose	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-0.488751364	0.750735027	0.019836007	0.123402399	3.16E-09	2.74E-07	L-Ribulose	CNC_159	1	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O
Ketoglutaric acid	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-1.61357846	-1.245029393	-0.005163438	0.209451136	3.23E-09	2.79E-07	Oxoglutaric acid	4C_38	4	C00026	HMDB00208	OC(=O)CCC(=O)C(O)=O
Acetyl coenzyme A	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.907925636	1.616356411	0.040343501	0.266698489	3.43E-09	2.95E-07	Acetyl-CoA	CNC_84	2	C00024	HMDB01206	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
"2,3-Dihydroxypropanoic acid"	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.892567875	-0.766759915	-0.017760045	0.126806979	3.49E-09	3.00E-07	Glyceric acid	CNC_113	4	C00258	HMDB00139	OC[C@@H](O)C(O)=O
Deoxycytidine triphosphate	GCK	Hexokinase-4	GCK	P35557		-3.450432583	-1.176888886	0.058657069	0.210260731	4.20E-09	3.59E-07	dCTP	CNC_99	4	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
5-Methyluridine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.732742894	-0.532679465	0.041304068	0.097913224	4.57E-09	3.89E-07	Ribothymidine	CNC_103	1		HMDB00884	CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O
Cyclic GMP	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.518765198	0.469933132	0.019414789	0.076911208	4.69E-09	3.99E-07	Cyclic GMP	CNC_51	3	C00942	HMDB01314	NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1
4-Phenylbutanoic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.787501911	-0.701910065	-0.006279355	0.118790101	4.74E-09	4.03E-07	Benzenebutanoic acid	CNC_147	4		HMDB00543	OC(=O)CCCC1=CC=CC=C1
Uridine 5-triphosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-8.984740528	-1.438817291	0.068158688	0.257758159	5.02E-09	4.23E-07	Uridine triphosphate	CNC_49	2	C00075	HMDB00285	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Nicotinamide hypoxanthine dinucleotide	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		0.140798538	0.765311258	0.002230661	0.131112101	5.88E-09	4.93E-07	NHD	CNC_67	2	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N
L-Dihydroorotic acid	ACC	Acetyl-CoA carboxylase 1	ACACA	Q13085		-0.906377333	-0.765457377	0.003797896	0.132236217	5.98E-09	5.00E-07	"4,5-Dihydroorotic acid"	D_12	3	C00337	HMDB00528	OC(=O)C1CC(=O)NC(=O)N1
"D-myo-Inositol-1,4,5-triphosphate"	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		-3.937027041	-1.618226765	0.051204005	0.288805428	7.45E-09	6.18E-07	"Inositol 1,4,5-trisphosphate"	Cay_7	4	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
2-Deoxy-5-cytidylic acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.267950556	0.804937319	-0.016800291	0.142345058	7.79E-09	6.46E-07	dCMP	20C_75	4	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
N-Acetyl-D-glucosamine 1-phosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-5.581323868	-2.157768317	0.012357949	0.376789768	8.44E-09	6.94E-07	N-Acetyl-glucosamine 1-phosphate	20C_68	4	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
"2,3-Diphospho-D-glyceric acid"	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.915171374	-0.766787862	0.027534283	0.13812007	8.87E-09	7.23E-07	"2,3-Diphosphoglyceric acid"	CNC_94	4	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
dUTP	TPI	Triosephosphate isomerase	TPI1	P60174		-5.907439752	-3.377916945	0.16499885	0.61619831	8.94E-09	7.28E-07	Deoxyuridine triphosphate	20C_81	4	 C00460	HMDB01191	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Malonyl coenzyme A	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-3.662617836	-1.149962827	0.069387638	0.212125818	9.02E-09	7.33E-07	Malonyl-CoA	CNC_74	2	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
Uridine 5-diphosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-1.485984305	1.009424118	0.032147738	0.170087104	9.15E-09	7.43E-07	Uridine 5'-diphosphate	CNC_25	4	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
4-Hydroxyphenylpyruvic acid	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	0.301360224	0.451871477	-0.024070626	0.082903933	9.42E-09	7.63E-07	4-Hydroxyphenylpyruvic acid	H_9	3	C01179	HMDB00707	OC(=O)C(=O)CC1=CC=C(O)C=C1
PIP3	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		-5.216164452	-2.064981511	-0.025389548	0.356030685	1.01E-08	8.18E-07	"Phosphatidylinositol-3,4,5-trisphosphate"	Cay_9	4	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O
L-Gulonic acid gamma-lactone	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.106259192	-0.932372514	-0.024297364	0.158594322	1.03E-08	8.31E-07	L-Gulonolactone	4C_7	4	C01040	HMDB03466	[H][C@@]1(OC(=O)[C@@H](O)[C@H]1O)[C@@H](O)CO
Uridine	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-2.053923773	-1.140983943	0.033849347	0.205335871	1.06E-08	8.51E-07	Uridine	U_5	2	C00299	HMDB00296	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
Adenosine 5-phosphosulfate	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		-2.798792868	-3.106829877	0.060278754	0.553791663	1.07E-08	8.62E-07	Adenosine phosphosulfate	CNC_26_R	3	C00224	HMDB01003	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
Guanosine 5-monophosphate	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		0.365235173	1.500610415	0.249754336	0.218883414	1.10E-08	8.83E-07	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
S-Lactoylglutathione	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.831290132	-1.650028556	-0.032914335	0.283024688	1.11E-08	8.87E-07	S-Lactoylglutathione	CNC_28	4	C03451	HMDB01066	C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
3-Hydroxybutyryl coenzyme A	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-1.77880964	-0.914955685	0.029041878	0.1657745	1.24E-08	9.86E-07	3-Hydroxybutyryl-CoA	CNC_63	4	C01144	HMDB01166	C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
(S)-3-Hydroxybutyric acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.812624406	-0.629151003	0.004815031	0.11211442	1.56E-08	1.22E-06	(S)-3-Hydroxybutyric acid	CNC_151	4	C03197	HMDB00442	C[C@H](O)CC(O)=O
(S)-Hydroxyisobutyrate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.812624406	-0.629151003	0.004815031	0.11211442	1.56E-08	1.22E-06	(S)-3-Hydroxyisobutyric acid	CNC_160	4	C06001	HMDB00023	C[C@@H](CO)C(O)=O
3-Hydroxybutyric acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.812624406	-0.629151003	0.004815031	0.11211442	1.56E-08	1.22E-06	(R)-3-Hydroxybutyric acid	CNC_20	4	C01089	HMDB00011	C[C@@H](O)CC(O)=O
